heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
monotona,32,10,1,0.00000,15,862,NA
monotona,32,10,2,0.00000,29,123,NA
monotona,32,10,3,0.00000,25,209,NA
monotona,32,10,4,0.00000,16,955,NA
monotona,32,10,5,0.00000,18,886,NA
monotona,32,10,6,0.00000,27,440,NA
monotona,32,10,7,0.00000,30,248,NA
monotona,32,10,8,0.00000,16,798,NA
monotona,32,10,9,0.00000,15,816,NA
monotona,32,10,10,0.00000,15,781,NA
temperasimulada,32,10,1,0.00005,52,289,0.80
temperasimulada,32,10,2,0.00005,52,416,0.80
temperasimulada,32,10,3,0.00004,52,247,0.80
temperasimulada,32,10,4,0.00005,52,413,0.80
temperasimulada,32,10,5,0.00004,52,493,0.80
temperasimulada,32,10,6,0.00004,52,405,0.80
temperasimulada,32,10,7,0.00004,52,483,0.80
temperasimulada,32,10,8,0.00004,52,308,0.80
temperasimulada,32,10,9,0.00004,52,283,0.80
temperasimulada,32,10,10,0.00004,52,344,0.80
temperasimulada,32,10,1,0.00006,71,427,0.85
temperasimulada,32,10,2,0.00006,71,321,0.85
temperasimulada,32,10,3,0.00006,71,240,0.85
temperasimulada,32,10,4,0.00007,71,463,0.85
temperasimulada,32,10,5,0.00006,71,223,0.85
temperasimulada,32,10,6,0.00006,71,262,0.85
temperasimulada,32,10,7,0.00006,71,169,0.85
temperasimulada,32,10,8,0.00006,71,319,0.85
temperasimulada,32,10,9,0.00006,71,299,0.85
temperasimulada,32,10,10,0.00006,71,371,0.85
temperasimulada,32,10,1,0.00010,110,279,0.90
temperasimulada,32,10,2,0.00010,110,289,0.90
temperasimulada,32,10,3,0.00010,110,237,0.90
temperasimulada,32,10,4,0.00010,110,416,0.90
temperasimulada,32,10,5,0.00010,110,354,0.90
temperasimulada,32,10,6,0.00010,110,176,0.90
temperasimulada,32,10,7,0.00010,110,283,0.90
temperasimulada,32,10,8,0.00010,110,319,0.90
temperasimulada,32,10,9,0.00011,110,207,0.90
temperasimulada,32,10,10,0.00010,110,217,0.90
temperasimulada,32,10,1,0.00020,225,236,0.95
temperasimulada,32,10,2,0.00020,225,209,0.95
temperasimulada,32,10,3,0.00021,225,251,0.95
temperasimulada,32,10,4,0.00019,225,206,0.95
temperasimulada,32,10,5,0.00020,225,201,0.95
temperasimulada,32,10,6,0.00020,225,226,0.95
temperasimulada,32,10,7,0.00021,225,438,0.95
temperasimulada,32,10,8,0.00021,225,305,0.95
temperasimulada,32,10,9,0.00018,225,209,0.95
temperasimulada,32,10,10,0.00020,225,284,0.95
temperasimulada,32,10,1,0.00104,1146,188,0.99
temperasimulada,32,10,2,0.00103,1146,243,0.99
temperasimulada,32,10,3,0.00094,1146,187,0.99
temperasimulada,32,10,4,0.00103,1146,236,0.99
temperasimulada,32,10,5,0.00114,1146,267,0.99
temperasimulada,32,10,6,0.00097,1146,209,0.99
temperasimulada,32,10,7,0.00106,1146,236,0.99
temperasimulada,32,10,8,0.00096,1146,188,0.99
temperasimulada,32,10,9,0.00105,1146,171,0.99
temperasimulada,32,10,10,0.00096,1146,264,0.99
monotona,100,10,1,0.00000,49,2644,NA
monotona,100,10,2,0.00000,54,2688,NA
monotona,100,10,3,0.00000,92,678,NA
monotona,100,10,4,0.00000,49,2441,NA
monotona,100,10,5,0.00000,93,98,NA
monotona,100,10,6,0.00000,73,1333,NA
monotona,100,10,7,0.00000,51,2705,NA
monotona,100,10,8,0.00000,78,1276,NA
monotona,100,10,9,0.00000,48,2362,NA
monotona,100,10,10,0.00000,48,2682,NA
temperasimulada,100,10,1,0.00006,52,650,0.80
temperasimulada,100,10,2,0.00006,52,578,0.80
temperasimulada,100,10,3,0.00006,52,663,0.80
temperasimulada,100,10,4,0.00006,52,607,0.80
temperasimulada,100,10,5,0.00006,52,598,0.80
temperasimulada,100,10,6,0.00006,52,590,0.80
temperasimulada,100,10,7,0.00006,52,707,0.80
temperasimulada,100,10,8,0.00005,52,602,0.80
temperasimulada,100,10,9,0.00006,52,581,0.80
temperasimulada,100,10,10,0.00006,52,547,0.80
temperasimulada,100,10,1,0.00008,71,690,0.85
