heuristica,n,m,alfa,media_cmax,melhor_cmax,pior_cmax,desvio_padrao,tempo_medio,iteracoes_medias
monotona,32,10,,611.8,123,955,320.3484,0.0,20.6
monotona,89,20,,1585.1,185,2565,832.6279,0.0,59.3
monotona,100,10,,1890.7,98,2705,965.5535,0.0,63.5
monotona,354,50,,7393.2,603,9403,3019.099,0.0,210.2
monotona,400,20,,8134.7,1352,10614,3705.2325,0.0,241.5
monotona,2500,50,,47602.9,15634,64024,21205.9661,1.7e-05,1563.6
temperasimulada,32,10,0.80,368.1,247,493,86.1722,4.3e-05,52
temperasimulada,32,10,0.85,309.4,169,463,91.7681,6.1e-05,71
temperasimulada,32,10,0.90,277.7,176,416,72.6438,0.000101,110
temperasimulada,32,10,0.95,256.5,201,438,72.7053,0.0002,225
temperasimulada,32,10,0.99,218.9,171,267,34.6937,0.001018,1146
temperasimulada,89,20,0.80,456.3,305,587,87.0735,8.3e-05,52
temperasimulada,89,20,0.85,449.2,294,581,83.3557,0.000112,71
temperasimulada,89,20,0.90,417.9,247,627,99.5272,0.00017,110
temperasimulada,89,20,0.95,353.6,273,478,80.9296,0.000359,225
temperasimulada,89,20,0.99,356.8,282,452,60.1199,0.001706,1146
temperasimulada,100,10,0.80,612.3,547,707,47.3944,5.9e-05,52
temperasimulada,100,10,0.85,587.3,508,690,55.1262,8e-05,71
temperasimulada,100,10,0.90,567.7,520,624,34.6059,0.000115,110
temperasimulada,100,10,0.95,590.5,566,629,24.2956,0.000237,225
temperasimulada,100,10,0.99,558,481,591,31.784,0.001067,1146
temperasimulada,354,50,0.80,630,521,741,77.6273,0.000233,52
temperasimulada,354,50,0.85,586.8,483,832,121.171,0.000322,71
temperasimulada,354,50,0.90,682.3,511,861,116.069,0.000469,110
temperasimulada,354,50,0.95,610.6,418,819,150.1749,0.000965,225
temperasimulada,354,50,0.99,523.3,400,828,126.9602,0.005022,1146
temperasimulada,400,20,0.80,1135.3,1033,1241,63.3439,9.8e-05,52
temperasimulada,400,20,0.85,1122.6,1068,1177,35.4156,0.000139,71
temperasimulada,400,20,0.90,1146.4,1084,1219,39.2066,0.0002,110
temperasimulada,400,20,0.95,1093.1,1025,1141,35.0284,0.000399,225
temperasimulada,400,20,0.99,1078.6,1021,1133,36.0469,0.00206,1146
temperasimulada,2500,50,0.80,2785.5,2707,2857,48.296,0.000722,52
temperasimulada,2500,50,0.85,2778.5,2727,2853,45.2137,0.000954,71
temperasimulada,2500,50,0.90,2700.5,2586,2821,61.0906,0.001435,110
temperasimulada,2500,50,0.95,2673.4,2640,2709,23.8477,0.002986,225
temperasimulada,2500,50,0.99,2637.5,2583,2714,41.8921,0.015227,1146
