n,m,alfa,rep,mlr_cmax,sa_cmax,mlr_tempo,sa_tempo,diff_pct_cmax,diff_pct_tempo,winner_qualidade,winner_tempo
32,10,0.80,1,862,289,0.0,5e-05,-66.47,0.0,SA,MLR
32,10,0.80,2,123,416,0.0,5e-05,238.21,0.0,MLR,MLR
32,10,0.80,3,209,247,0.0,4e-05,18.18,0.0,MLR,MLR
32,10,0.80,4,955,413,0.0,5e-05,-56.75,0.0,SA,MLR
32,10,0.80,5,886,493,0.0,4e-05,-44.36,0.0,SA,MLR
32,10,0.80,6,440,405,0.0,4e-05,-7.95,0.0,SA,MLR
32,10,0.80,7,248,483,0.0,4e-05,94.76,0.0,MLR,MLR
32,10,0.80,8,798,308,0.0,4e-05,-61.4,0.0,SA,MLR
32,10,0.80,9,816,283,0.0,4e-05,-65.32,0.0,SA,MLR
32,10,0.80,10,781,344,0.0,4e-05,-55.95,0.0,SA,MLR
32,10,0.85,1,862,427,0.0,6e-05,-50.46,0.0,SA,MLR
32,10,0.85,2,123,321,0.0,6e-05,160.98,0.0,MLR,MLR
32,10,0.85,3,209,240,0.0,6e-05,14.83,0.0,MLR,MLR
32,10,0.85,4,955,463,0.0,7e-05,-51.52,0.0,SA,MLR
32,10,0.85,5,886,223,0.0,6e-05,-74.83,0.0,SA,MLR
32,10,0.85,6,440,262,0.0,6e-05,-40.45,0.0,SA,MLR
32,10,0.85,7,248,169,0.0,6e-05,-31.85,0.0,SA,MLR
32,10,0.85,8,798,319,0.0,6e-05,-60.03,0.0,SA,MLR
32,10,0.85,9,816,299,0.0,6e-05,-63.36,0.0,SA,MLR
32,10,0.85,10,781,371,0.0,6e-05,-52.5,0.0,SA,MLR
32,10,0.90,1,862,279,0.0,0.0001,-67.63,0.0,SA,MLR
32,10,0.90,2,123,289,0.0,0.0001,134.96,0.0,MLR,MLR
32,10,0.90,3,209,237,0.0,0.0001,13.4,0.0,MLR,MLR
32,10,0.90,4,955,416,0.0,0.0001,-56.44,0.0,SA,MLR
32,10,0.90,5,886,354,0.0,0.0001,-60.05,0.0,SA,MLR
32,10,0.90,6,440,176,0.0,0.0001,-60.0,0.0,SA,MLR
32,10,0.90,7,248,283,0.0,0.0001,14.11,0.0,MLR,MLR
32,10,0.90,8,798,319,0.0,0.0001,-60.03,0.0,SA,MLR
32,10,0.90,9,816,207,0.0,0.00011,-74.63,0.0,SA,MLR
32,10,0.90,10,781,217,0.0,0.0001,-72.22,0.0,SA,MLR
32,10,0.95,1,862,236,0.0,0.0002,-72.62,0.0,SA,MLR
32,10,0.95,2,123,209,0.0,0.0002,69.92,0.0,MLR,MLR
32,10,0.95,3,209,251,0.0,0.00021,20.1,0.0,MLR,MLR
32,10,0.95,4,955,206,0.0,0.00019,-78.43,0.0,SA,MLR
32,10,0.95,5,886,201,0.0,0.0002,-77.31,0.0,SA,MLR
32,10,0.95,6,440,226,0.0,0.0002,-48.64,0.0,SA,MLR
32,10,0.95,7,248,438,0.0,0.00021,76.61,0.0,MLR,MLR
32,10,0.95,8,798,305,0.0,0.00021,-61.78,0.0,SA,MLR
32,10,0.95,9,816,209,0.0,0.00018,-74.39,0.0,SA,MLR
32,10,0.95,10,781,284,0.0,0.0002,-63.64,0.0,SA,MLR
32,10,0.99,1,862,188,0.0,0.00104,-78.19,0.0,SA,MLR
32,10,0.99,2,123,243,0.0,0.00103,97.56,0.0,MLR,MLR
32,10,0.99,3,209,187,0.0,0.00094,-10.53,0.0,SA,MLR
32,10,0.99,4,955,236,0.0,0.00103,-75.29,0.0,SA,MLR
32,10,0.99,5,886,267,0.0,0.00114,-69.86,0.0,SA,MLR
32,10,0.99,6,440,209,0.0,0.00097,-52.5,0.0,SA,MLR
32,10,0.99,7,248,236,0.0,0.00106,-4.84,0.0,SA,MLR
32,10,0.99,8,798,188,0.0,0.00096,-76.44,0.0,SA,MLR
32,10,0.99,9,816,171,0.0,0.00105,-79.04,0.0,SA,MLR
32,10,0.99,10,781,264,0.0,0.00096,-66.2,0.0,SA,MLR
100,10,0.80,1,2644,650,0.0,6e-05,-75.42,0.0,SA,MLR
100,10,0.80,2,2688,578,0.0,6e-05,-78.5,0.0,SA,MLR
100,10,0.80,3,678,663,0.0,6e-05,-2.21,0.0,SA,MLR
100,10,0.80,4,2441,607,0.0,6e-05,-75.13,0.0,SA,MLR
100,10,0.80,5,98,598,0.0,6e-05,510.2,0.0,MLR,MLR
