iteration,makespan
0,4229
1,4229
2,4229
3,4229
4,4229
5,4229
6,4229
7,4229
8,4229
9,4229
10,4229
11,4229
12,4229
13,4229
14,4229
15,4229
16,4229
17,4229
18,4229
19,4229
20,4229
21,4229
22,4229
23,4229
24,4229
25,4229
26,4229
27,4229
28,4229
29,4229
30,4229
31,4229
32,4229
33,4229
34,4229
35,4229
36,4229
37,4229
38,4229
39,4229
40,4229
41,4229
42,4229
43,4229
44,4229
45,4229
46,4229
47,4229
48,4229
49,4229
50,4229
51,4229
52,4229
53,4229
54,4229
55,4229
56,4229
57,4229
58,4229
59,4229
60,4229
61,4229
62,4229
63,4229
64,4229
65,4229
66,4229
67,4229
68,4229
69,4229
70,4229
71,4229
72,4229
73,4229
