heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
monotona,31,10,1,0.00001,24,112,NA
monotona,31,10,2,0.00001,14,631,NA
monotona,31,10,3,0.00001,31,97,NA
monotona,31,10,4,0.00001,35,94,NA
monotona,31,10,5,0.00000,15,748,NA
monotona,31,10,6,0.00001,39,76,NA
monotona,31,10,7,0.00001,24,367,NA
monotona,31,10,8,0.00001,15,829,NA
monotona,31,10,9,0.00000,18,903,NA
monotona,31,10,10,0.00001,18,676,NA
monotona,100,10,1,0.00002,94,595,NA
monotona,100,10,2,0.00001,43,2205,NA
monotona,100,10,3,0.00002,71,1365,NA
monotona,100,10,4,0.00003,90,716,NA
monotona,100,10,5,0.00001,50,2340,NA
monotona,100,10,6,0.00001,91,374,NA
monotona,100,10,7,0.00001,74,1344,NA
monotona,100,10,8,0.00001,82,1270,NA
monotona,100,10,9,0.00001,45,2470,NA
monotona,100,10,10,0.00001,49,2514,NA
monotona,89,20,1,0.00001,65,1128,NA
monotona,89,20,2,0.00001,43,2331,NA
monotona,89,20,3,0.00001,42,4262,NA
monotona,89,20,4,0.00001,50,4444,NA
monotona,89,20,5,0.00001,42,2063,NA
monotona,89,20,6,0.00001,67,1076,NA
monotona,89,20,7,0.00001,70,1187,NA
monotona,89,20,8,0.00001,47,2133,NA
monotona,89,20,9,0.00001,68,1009,NA
monotona,89,20,10,0.00001,47,2414,NA
monotona,400,20,1,0.00001,193,10331,NA
monotona,400,20,2,0.00002,290,5292,NA
monotona,400,20,3,0.00002,301,5169,NA
monotona,400,20,4,0.00003,369,698,NA
monotona,400,20,5,0.00002,208,10065,NA
monotona,400,20,6,0.00002,207,10405,NA
monotona,400,20,7,0.00002,308,5224,NA
monotona,400,20,8,0.00001,197,9818,NA
monotona,400,20,9,0.00001,200,10065,NA
monotona,400,20,10,0.00003,380,1295,NA
monotona,353,50,1,0.00001,183,9010,NA
monotona,353,50,2,0.00002,264,4434,NA
monotona,353,50,3,0.00002,177,8841,NA
monotona,353,50,4,0.00001,167,8926,NA
monotona,353,50,5,0.00001,176,9182,NA
monotona,353,50,6,0.00002,260,4557,NA
monotona,353,50,7,0.00002,292,2275,NA
monotona,353,50,8,0.00002,274,4212,NA
monotona,353,50,9,0.00002,302,18540,NA
