heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
monotona,31,10,1,0.00001,16,876,NA
monotona,31,10,2,0.00000,14,816,NA
monotona,31,10,3,0.00001,26,386,NA
monotona,31,10,4,0.00001,33,392,NA
monotona,31,10,5,0.00000,15,754,NA
monotona,31,10,6,0.00000,14,677,NA
monotona,31,10,7,0.00001,14,746,NA
monotona,31,10,8,0.00001,30,214,NA
monotona,31,10,9,0.00001,23,420,NA
monotona,31,10,10,0.00001,17,852,NA
monotona,100,10,1,0.00002,92,590,NA
monotona,100,10,2,0.00001,49,2462,NA
monotona,100,10,3,0.00001,52,2718,NA
monotona,100,10,4,0.00002,72,1363,NA
monotona,100,10,5,0.00001,51,2415,NA
monotona,100,10,6,0.00001,50,2227,NA
monotona,100,10,7,0.00002,72,1208,NA
monotona,100,10,8,0.00002,74,1248,NA
monotona,100,10,9,0.00001,56,2588,NA
monotona,100,10,10,0.00002,105,100,NA
monotona,89,20,1,0.00002,72,1161,NA
monotona,89,20,2,0.00001,41,2140,NA
monotona,89,20,3,0.00002,67,1158,NA
monotona,89,20,4,0.00002,71,609,NA
monotona,89,20,5,0.00001,48,2270,NA
monotona,89,20,6,0.00001,48,2212,NA
monotona,89,20,7,0.00001,49,2396,NA
monotona,89,20,8,0.00002,79,341,NA
monotona,89,20,9,0.00002,68,1152,NA
monotona,89,20,10,0.00001,41,2304,NA
monotona,400,20,1,0.00004,205,10564,NA
monotona,400,20,2,0.00008,424,357,NA
monotona,400,20,3,0.00004,203,10667,NA
monotona,400,20,4,0.00004,204,9829,NA
monotona,400,20,5,0.00004,210,9661,NA
monotona,400,20,6,0.00004,202,10177,NA
monotona,400,20,7,0.00004,200,10270,NA
monotona,400,20,8,0.00008,371,1291,NA
monotona,400,20,9,0.00006,296,4969,NA
monotona,400,20,10,0.00004,197,10096,NA
monotona,353,50,1,0.00003,170,8862,NA
monotona,353,50,2,0.00003,174,8583,NA
monotona,353,50,3,0.00004,178,8286,NA
monotona,353,50,4,0.00003,172,9258,NA
monotona,353,50,5,0.00006,271,4513,NA
monotona,353,50,6,0.00004,183,8939,NA
monotona,353,50,7,0.00004,177,9018,NA
monotona,353,50,8,0.00006,283,4688,NA
monotona,353,50,9,0.00007,355,1146,NA
monotona,353,50,10,0.00007,261,4655,NA
monotona,2500,50,1,0.00029,1236,62937,NA
monotona,2500,50,2,0.00056,2202,15868,NA
monotona,2500,50,3,0.00045,1894,31347,NA
monotona,2500,50,4,0.00031,1274,63322,NA
monotona,2500,50,5,0.00033,1226,63440,NA
monotona,2500,50,6,0.00041,1872,31738,NA
monotona,2500,50,7,0.00050,1946,31523,NA
monotona,2500,50,8,0.00029,1243,63517,NA
monotona,2500,50,9,0.00030,1235,62259,NA
monotona,2500,50,10,0.00030,1272,63437,NA
temperasimulada,31,10,1,0.00012,52,184,0.80
temperasimulada,31,10,2,0.00010,52,168,0.80
temperasimulada,31,10,3,0.00009,52,183,0.80
temperasimulada,31,10,4,0.00009,52,192,0.80
temperasimulada,31,10,5,0.00009,52,210,0.80
temperasimulada,31,10,6,0.00010,52,189,0.80
temperasimulada,31,10,7,0.00009,52,215,0.80
temperasimulada,31,10,8,0.00010,52,259,0.80
temperasimulada,31,10,9,0.00009,52,231,0.80
temperasimulada,31,10,10,0.00009,52,200,0.80
temperasimulada,31,10,1,0.00012,71,199,0.85
temperasimulada,31,10,2,0.00011,71,188,0.85
temperasimulada,31,10,3,0.00011,71,222,0.85
temperasimulada,31,10,4,0.00011,71,172,0.85
temperasimulada,31,10,5,0.00012,71,175,0.85
temperasimulada,31,10,6,0.00011,71,200,0.85
temperasimulada,31,10,7,0.00011,71,185,0.85
temperasimulada,31,10,8,0.00012,71,179,0.85
temperasimulada,31,10,9,0.00012,71,200,0.85
temperasimulada,31,10,10,0.00012,71,188,0.85
temperasimulada,31,10,1,0.00018,110,185,0.90
temperasimulada,31,10,2,0.00016,110,159,0.90
temperasimulada,31,10,3,0.00015,110,160,0.90
temperasimulada,31,10,4,0.00015,110,184,0.90
temperasimulada,31,10,5,0.00018,110,191,0.90
temperasimulada,31,10,6,0.00016,110,237,0.90
temperasimulada,31,10,7,0.00016,110,201,0.90
temperasimulada,31,10,8,0.00016,110,147,0.90
temperasimulada,31,10,9,0.00018,110,138,0.90
temperasimulada,31,10,10,0.00016,110,182,0.90
temperasimulada,31,10,1,0.00029,225,201,0.95
temperasimulada,31,10,2,0.00031,225,225,0.95
temperasimulada,31,10,3,0.00029,225,150,0.95
