heuristica,n,m,alfa,rep,total_movimentos,pioras_propostas,pioras_aceitas,taxa_aceitacao
temperasimulada,32,10,0.80,1,52,21,21,100.00
temperasimulada,32,10,0.80,2,52,26,26,100.00
temperasimulada,32,10,0.85,1,71,26,26,100.00
temperasimulada,32,10,0.85,2,71,34,34,100.00
temperasimulada,32,10,0.90,1,110,50,50,100.00
temperasimulada,32,10,0.90,2,110,54,54,100.00
temperasimulada,32,10,0.95,1,225,95,95,100.00
temperasimulada,32,10,0.95,2,225,100,100,100.00
temperasimulada,32,10,0.99,1,1146,565,565,100.00
temperasimulada,32,10,0.99,2,1146,558,558,100.00
temperasimulada,100,10,0.80,1,52,19,19,100.00
temperasimulada,100,10,0.80,2,52,19,19,100.00
temperasimulada,100,10,0.85,1,71,33,33,100.00
temperasimulada,100,10,0.85,2,71,26,26,100.00
temperasimulada,100,10,0.90,1,110,49,49,100.00
temperasimulada,100,10,0.90,2,110,49,49,100.00
temperasimulada,100,10,0.95,1,225,103,103,100.00
temperasimulada,100,10,0.95,2,225,104,104,100.00
temperasimulada,100,10,0.99,1,1146,549,549,100.00
temperasimulada,100,10,0.99,2,1146,571,571,100.00
temperasimulada,89,20,0.80,1,52,25,25,100.00
temperasimulada,89,20,0.80,2,52,26,26,100.00
temperasimulada,89,20,0.85,1,71,37,37,100.00
temperasimulada,89,20,0.85,2,71,28,28,100.00
temperasimulada,89,20,0.90,1,110,45,45,100.00
temperasimulada,89,20,0.90,2,110,52,52,100.00
temperasimulada,89,20,0.95,1,225,100,100,100.00
temperasimulada,89,20,0.95,2,225,102,102,100.00
temperasimulada,89,20,0.99,1,1146,493,493,100.00
temperasimulada,89,20,0.99,2,1146,538,538,100.00
temperasimulada,400,20,0.80,1,52,24,24,100.00
temperasimulada,400,20,0.80,2,52,21,21,100.00
temperasimulada,400,20,0.85,1,71,24,24,100.00
temperasimulada,400,20,0.85,2,71,27,27,100.00
temperasimulada,400,20,0.90,1,110,41,41,100.00
temperasimulada,400,20,0.90,2,110,48,48,100.00
temperasimulada,400,20,0.95,1,225,94,94,100.00
temperasimulada,400,20,0.95,2,225,95,95,100.00
temperasimulada,400,20,0.99,1,1146,493,493,100.00
temperasimulada,400,20,0.99,2,1146,537,537,100.00
temperasimulada,354,50,0.80,1,52,21,21,100.00
temperasimulada,354,50,0.80,2,52,16,16,100.00
temperasimulada,354,50,0.85,1,71,25,25,100.00
temperasimulada,354,50,0.85,2,71,25,25,100.00
temperasimulada,354,50,0.90,1,110,52,52,100.00
temperasimulada,354,50,0.90,2,110,40,40,100.00
temperasimulada,354,50,0.95,1,225,92,92,100.00
temperasimulada,354,50,0.95,2,225,93,93,100.00
temperasimulada,354,50,0.99,1,1146,512,512,100.00
temperasimulada,354,50,0.99,2,1146,452,452,100.00
temperasimulada,2500,50,0.80,1,52,15,15,100.00
temperasimulada,2500,50,0.80,2,52,15,15,100.00
temperasimulada,2500,50,0.85,1,71,24,24,100.00
temperasimulada,2500,50,0.85,2,71,24,24,100.00
temperasimulada,2500,50,0.90,1,110,38,38,100.00
temperasimulada,2500,50,0.90,2,110,36,36,100.00
temperasimulada,2500,50,0.95,1,225,76,76,100.00
temperasimulada,2500,50,0.95,2,225,83,83,100.00
temperasimulada,2500,50,0.99,1,1146,447,447,100.00
temperasimulada,2500,50,0.99,2,1146,453,453,100.00
temperasimulada,32,10,0.80,1,52,24,24,100.00
temperasimulada,32,10,0.80,2,52,27,27,100.00
temperasimulada,32,10,0.80,3,52,22,22,100.00
