iteracao,temperatura,makespan_atual,makespan_melhor,aceita,piora_aceita
1,8000.0000,986,986,1,0
2,6400.0000,888,888,1,0
3,5120.0000,848,848,1,0
4,4096.0000,867,848,1,1
5,3276.8000,882,848,1,1
6,2621.4402,866,848,1,0
7,2097.1521,793,793,1,0
8,1677.7217,799,793,1,1
9,1342.1774,737,737,1,0
10,1073.7419,788,737,1,1
11,858.9936,809,737,1,1
12,687.1949,865,737,1,1
13,549.7559,840,737,1,0
14,439.8047,731,731,1,0
15,351.8438,779,731,1,1
16,281.4751,786,731,1,1
17,225.1801,752,731,1,0
18,180.1440,753,731,1,1
19,144.1152,697,697,1,0
20,115.2922,710,697,1,1
21,92.2338,679,679,1,0
22,73.7870,673,673,1,0
23,59.0296,804,673,1,1
24,47.2237,613,613,1,0
25,37.7790,612,612,1,0
26,30.2232,591,591,1,0
27,24.1785,576,576,1,0
28,19.3428,555,555,1,0
29,15.4743,542,542,1,0
30,12.3794,593,542,1,1
31,9.9035,586,542,1,0
32,7.9228,595,542,1,1
33,6.3383,595,542,1,0
34,5.0706,593,542,1,0
35,4.0565,587,542,1,0
36,3.2452,633,542,1,1
37,2.5962,595,542,1,0
38,2.0769,586,542,1,0
39,1.6615,616,542,1,1
40,1.3292,604,542,1,0
41,1.0634,571,542,1,0
42,0.8507,559,542,1,0
43,0.6806,551,542,1,0
44,0.5445,542,542,1,0
45,0.4356,612,542,1,1
46,0.3484,633,542,1,1
47,0.2788,554,542,1,0
48,0.2230,608,542,1,1
49,0.1784,553,542,1,0
50,0.1427,565,542,1,1
51,0.1142,555,542,1,0
52,0.0913,547,542,1,0
