temperatura,makespan
10000.00000,18414
9000.00000,696
8100.00000,690
7290.00000,687
6561.00000,612
5904.89990,592
5314.40967,572
4782.96875,578
4304.67188,637
3874.20459,579
3486.78394,590
3138.10547,573
2824.29492,566
2541.86548,565
2287.67896,563
2058.91089,613
1853.01978,633
1667.71777,699
1500.94592,594
1350.85132,644
1215.76611,632
1094.18945,642
984.77051,626
886.29346,611
797.66406,600
717.89764,585
646.10785,568
581.49707,586
523.34735,566
471.01260,568
423.91135,589
381.52020,563
343.36816,612
309.03134,604
278.12820,610
250.31538,585
225.28384,574
202.75545,632
182.47990,605
164.23190,593
147.80872,560
133.02785,579
119.72506,555
107.75255,571
96.97729,611
87.27956,542
78.55160,590
70.69643,516
63.62679,566
57.26411,537
51.53770,579
46.38393,572
41.74553,551
37.57098,540
33.81388,539
30.43249,516
27.38924,514
24.65032,514
22.18529,538
19.96676,506
17.97008,506
16.17307,495
14.55577,493
13.10019,490
11.79017,481
10.61115,474
9.55004,502
8.59503,531
7.73553,568
6.96198,496
6.26578,513
5.63920,470
5.07528,495
4.56775,510
4.11098,488
3.69988,542
3.32989,471
2.99690,469
2.69721,504
2.42749,540
2.18474,457
1.96627,453
1.76964,452
1.59268,452
1.43341,452
1.29007,532
1.16106,490
1.04495,468
0.94046,514
0.84641,446
0.76177,527
0.68559,526
0.61704,515
0.55533,507
0.49980,472
0.44982,445
0.40484,441
0.36435,453
0.32792,471
0.29513,517
0.26561,493
0.23905,465
0.21515,519
0.19363,469
0.17427,444
0.15684,464
0.14116,494
0.12704,497
0.11434,487
0.10290,466
